Clearsky DHI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Precipitable Water,Label
91,298,4,0.0,113,14,118,0.331,73.54,72.05,0.87,0.8,58.87147309241732
95,435,2,2.7,191,154,259,0.292,72.34,64.03,0.12,1.0,167.60467690739785
53,200,0,1.4,53,673,200,0.292,71.98,77.39,0.87,1.0,583.3003786560423
29,43,8,5.7,25,61,30,0.314,83.96000000000001,85.97,0.87,1.7000000000000002,61.268188891183456
34,42,1,3.8,34,109,42,0.393,90.61,85.78,0.87,1.2000000000000002,155.83243631728737
128,534,4,-3.7,176,10,181,0.397,70.66,60.38,0.87,0.6000000000000001,51.117649909008264
106,520,4,-0.7000000000000001,170,9,174,0.323,65.0,61.27,0.87,0.7000000000000001,51.36790395126502
17,25,1,-4.0,17,212,25,0.327,67.6,87.83,0.12,0.4,203.41230194607124
61,281,0,-4.800000000000001,61,759,281,0.322,48.76,73.15,0.12,0.4,736.8781615460585
52,178,0,-1.0,52,609,178,0.314,66.35,78.05,0.12,0.7000000000000001,569.1648649642332
73,266,0,0.9,73,654,266,0.302,68.81,72.9,0.12,1.1,671.3642945273757
116,386,4,7.2,181,149,244,0.319,80.5,65.12,0.12,2.0,114.63524848014521
108,594,4,-0.9,217,24,230,0.342,67.08,55.74,0.11,0.6000000000000001,92.36871834416189
104,475,4,-2.4000000000000004,159,4,161,0.376,71.84,61.96,0.11,0.6000000000000001,54.21913389506466
83,547,0,-2.1,83,888,547,0.319,58.35,58.46,0.12,0.8,876.8119645269397
76,369,0,8.200000000000001,76,751,369,0.337,69.55,67.08,0.12,1.6,738.0469911514931
84,194,0,9.9,84,439,194,0.353,82.21000000000001,75.53,0.12,1.8,469.5610841806519
207,657,7,6.300000000000001,296,328,517,0.307,72.85000000000001,47.85,0.12,1.8,316.03520799697924
108,710,0,6.1000000000000005,108,908,710,0.29,67.98,48.49,0.12,0.8,898.8264907703503
156,669,2,7.1000000000000005,314,116,391,0.373,67.83,48.25,0.12,1.5,127.16346643811193
43,52,0,6.9,43,93,52,0.372,91.6,84.2,0.12,1.7000000000000002,173.5724109012957
103,787,0,1.8,103,934,787,0.357,60.1,42.93,0.12,0.9,913.5210141445766
96,751,0,1.0,96,934,751,0.358,55.1,45.47,0.12,0.9,909.183258508386
108,467,0,7.9,108,730,467,0.345,61.76,60.55,0.12,1.7000000000000002,736.1397555840617
74,509,0,4.9,74,878,509,0.34,63.38,60.3,0.12,0.7000000000000001,865.0588962600193
132,644,7,6.800000000000001,245,429,518,0.335,65.16,50.55,0.12,1.1,370.88769137386294
36,71,0,2.8000000000000003,36,327,71,0.333,78.88,83.84,0.12,1.0,292.5845374631774
72,264,0,2.8000000000000003,72,644,264,0.33,71.33,72.69,0.12,0.9,656.9078803648661
60,280,0,4.4,60,726,280,0.316,71.21000000000001,72.38,0.12,0.7000000000000001,722.9272716029709
102,641,0,6.7,102,863,641,0.349,65.03,51.33,0.12,1.0,865.111287764649
43,92,1,3.2,43,377,92,0.367,79.76,82.62,0.13,0.5,382.6003449845602
72,352,0,2.9000000000000004,72,766,352,0.361,64.49,68.60000000000001,0.13,0.5,781.024315127849
114,886,2,5.0,407,214,585,0.398,60.89,33.89,0.13,1.1,256.08461260691416
127,528,7,8.1,209,367,409,0.33,83.91,57.14,0.13,0.9,340.95775989087133
226,852,6,7.7,389,70,447,0.332,74.61,33.15,0.13,1.0,143.31067373018124
129,529,2,8.0,246,172,342,0.356,62.190000000000005,56.26,0.13,1.6,182.72311502738017
