Temperature,Clearsky DHI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Label
4.3,91,298,4,0.0,113,14,0,118,0.331,73.54,72.05,0.87,1020,0.8,222,2.8000000000000003,53.00019358090458
7.300000000000001,95,435,2,2.7,191,154,0,259,0.292,72.34,64.03,0.12,1016,1.0,210,4.9,170.46647538137137
6.1000000000000005,53,200,0,1.4,53,673,0,200,0.292,71.98,77.39,0.87,1013,1.0,180,2.8000000000000003,581.6311478709249
8.200000000000001,29,43,8,5.7,25,61,3,30,0.314,83.96000000000001,85.97,0.87,1004,1.7000000000000002,187,4.800000000000001,50.41541256728743
5.2,34,42,1,3.8,34,109,0,42,0.393,90.61,85.78,0.87,1014,1.2000000000000002,31,3.3000000000000003,158.9683309432902
1.0,128,534,4,-3.7,176,10,0,181,0.397,70.66,60.38,0.87,1026,0.6000000000000001,355,5.1000000000000005,57.398193731066954
5.4,106,520,4,-0.7000000000000001,170,9,0,174,0.323,65.0,61.27,0.87,1024,0.7000000000000001,57,3.4000000000000004,48.31662237960626
1.3,17,25,1,-4.0,17,212,0,25,0.327,67.6,87.83,0.12,1028,0.4,117,2.7,202.51997750970327
5.1000000000000005,61,281,0,-4.800000000000001,61,759,0,281,0.322,48.76,73.15,0.12,1026,0.4,73,0.8,733.1992974485408
4.7,52,178,0,-1.0,52,609,0,178,0.314,66.35,78.05,0.12,1028,0.7000000000000001,211,3.2,571.7615952452506
6.2,73,266,0,0.9,73,654,0,266,0.302,68.81,72.9,0.12,1026,1.1,233,2.4000000000000004,669.3834908895498
10.4,116,386,4,7.2,181,149,0,244,0.319,80.5,65.12,0.12,1019,2.0,215,4.4,110.90867984935625
4.7,108,594,4,-0.9,217,24,0,230,0.342,67.08,55.74,0.11,1029,0.6000000000000001,48,6.9,80.41894675339591
2.2,104,475,4,-2.4000000000000004,159,4,0,161,0.376,71.84,61.96,0.11,1028,0.6000000000000001,5,4.2,47.43779256036197
5.4,83,547,0,-2.1,83,888,0,547,0.319,58.35,58.46,0.12,1026,0.8,114,1.9,875.7831339499841
13.7,76,369,0,8.200000000000001,76,751,0,369,0.337,69.55,67.08,0.12,1012,1.6,226,5.7,737.9638097696948
12.9,84,194,0,9.9,84,439,0,194,0.353,82.21000000000001,75.53,0.12,1006,1.8,244,1.9,465.3095697866552
11.0,207,657,7,6.300000000000001,296,328,0,517,0.307,72.85000000000001,47.85,0.12,1016,1.8,351,1.0,315.5338216873504
11.8,108,710,0,6.1000000000000005,108,908,0,710,0.29,67.98,48.49,0.12,1021,0.8,69,2.2,898.1242832537257
12.9,156,669,2,7.1000000000000005,314,116,0,391,0.373,67.83,48.25,0.12,1002,1.5,16,2.0,130.34088298838947
8.200000000000001,43,52,0,6.9,43,93,0,52,0.372,91.6,84.2,0.12,1002,1.7000000000000002,35,4.3,186.08986951673262
9.1,103,787,0,1.8,103,934,0,787,0.357,60.1,42.93,0.12,1014,0.9,237,5.0,911.0244234364862
9.6,96,751,0,1.0,96,934,0,751,0.358,55.1,45.47,0.12,1012,0.9,233,5.2,908.5616230092817
15.2,108,467,0,7.9,108,730,0,467,0.345,61.76,60.55,0.12,1011,1.7000000000000002,35,1.7000000000000002,736.4272184614506
11.6,74,509,0,4.9,74,878,0,509,0.34,63.38,60.3,0.12,1013,0.7000000000000001,47,5.2,866.3790111085395
13.2,132,644,7,6.800000000000001,245,429,3,518,0.335,65.16,50.55,0.12,1018,1.1,13,2.8000000000000003,370.4182001489717
6.2,36,71,0,2.8000000000000003,36,327,0,71,0.333,78.88,83.84,0.12,1020,1.0,94,2.2,293.5348689958217
7.7,72,264,0,2.8000000000000003,72,644,0,264,0.33,71.33,72.69,0.12,1020,0.9,84,2.6,660.0944019521684
9.4,60,280,0,4.4,60,726,0,280,0.316,71.21000000000001,72.38,0.12,1018,0.7000000000000001,85,3.2,718.2124211837586
13.1,102,641,0,6.7,102,863,0,641,0.349,65.03,51.33,0.12,1015,1.0,56,1.4,871.0640015614117
6.4,43,92,1,3.2,43,377,0,92,0.367,79.76,82.62,0.13,1019,0.5,56,4.2,387.8450999103944
9.3,72,352,0,2.9000000000000004,72,766,0,352,0.361,64.49,68.60000000000001,0.13,1018,0.5,51,4.9,779.9964851527166
